id,commit_hash,reviewer,is_bug_fixing_commit,is_obvious_bug,is_safety_related,type_of_safety_related,comment,link_visited
8,ddec8ed2d4905d0967ce2ec432e440e582aa52c6,Abhishek Kumar,true,true,true,Memory,Also I think it falls under the exchange of information category because the kernel-infoleak fix relates to loss or leak of information.,true
55,494603e06b3c8c0b29086b72f0bc41abf102fe0d,Abhishek Kumar,true,unknown,true,Memory,,false
56,cd36722d74733b748ae812e37dcfe035b420de67,Abhishek Kumar,true,true,unknown,none,,false
57,c6af53f038aa32cec12e8a305ba07c7ef168f1b0,Abhishek Kumar,false,none,none,none,,true
58,7d4a101c0bd3c6e5c6e45c705a54f7bc8f6c128d,Abhishek Kumar,true,false,true,Exchange of Information,,false
59,9b648bb1d89ef058196cff4fe3bd678ab7ebdb19,Abhishek Kumar,false,none,none,none,,false
60,c579792562837ec2e64b006cfc9423e4177a4d26,Abhishek Kumar,true,true,unknown,none,,false
61,cae9071bc5ea3096a5604e48e854740c12f7c1ec,Abhishek Kumar,false,none,none,none,,false
62,319fdbc9433c6a74fdb3993c9f5d9a1334068a21,Abhishek Kumar,false,none,none,none,,false
63,370d988cc529598ebaec6487d4f84c2115dc696b,Abhishek Kumar,true,true,false,none,,false
64,19629ae482f1800b50a5bdf2504ac57171d2bb82,Abhishek Kumar,true,false,false,none,,true
65,84cc69589700b90a4c8d27b481a51fce8cca6051,Abhishek Kumar,true,true,true,Memory,,false
66,bf08387fb462ac7ab7dd4d3e4ac32728585bf625,Abhishek Kumar,true,true,false,none,,false
67,7fcf8a0050df003776d10602c9c52b57212f3345,Abhishek Kumar,false,none,none,none,,false
68,462b728ea83fa85f1c0d2b79efb6187745444ce5,Abhishek Kumar,false,none,none,none,,false
69,6184f15d877c6fec0af43ef3e10c10183758263d,Abhishek Kumar,false,none,none,none,,false
70,ecd1a5f62eed35d812de8fe20703e21b551c6560,Abhishek Kumar,true,true,unknown,none,,false
71,20f3507fdbf918353fc748aa99756955b8a273fa,Abhishek Kumar,false,none,none,none,,false
102,5f2f539901b0d9bda722637521a11b7f7cf753f1,Abhishek Kumar,true,false,false,none,,false
103,c0e582de6066e97c83a466f0e5983e3148123526,Abhishek Kumar,false,none,none,none,,false
104,62d5f9f7110ad374db67ab4820f4ff2d916c3cdb,Abhishek Kumar,true,true,false,none,,false
105,88db8458086b1dcf20b56682504bdb34d2bca0e2,Abhishek Kumar,true,true,true,Exchange of Information,Not 100% sure about the safety-type,false
106,50b620303a14e885529410d26800f92a735724d6,Abhishek Kumar,true,true,true,Timing and execution,,false
107,4ceca42d396eb5b7a80301e7d49a6d0012a17a43,Abhishek Kumar,true,true,true,Timing and execution,,false
108,77dbd72b982ca648b42b4feac5f8b2ea55e4ed09,Abhishek Kumar,true,true,false,none,,false
109,3ac5f2f2574a8b9e219bb5872166e5db797e349d,Abhishek Kumar,false,none,none,none,,false
110,0046686da0ef692a6381260c3aa44291187eafc9,Abhishek Kumar,true,true,false,none,,false
111,da8c94c065174099853a207d9716a49d339b265f,Abhishek Kumar,true,false,false,none,,false
112,62b488875c0551822ac3b961d04800d4c7a655d9,Abhishek Kumar,false,none,none,none,,false
113,fde212e44f45e491f8e3875084b587c0c2189078,Abhishek Kumar,false,none,none,none,,false
114,801db90bf294f647b967e8d99b9ae121bea63d0d,Abhishek Kumar,true,false,false,none,,false
115,18deddea9184b62941395889ff7659529c877326,Abhishek Kumar,true,true,true,Exchange of Information,,false
116,c4d7f40b250c1a4d74ed259e84807f58032507b6,Abhishek Kumar,false,none,none,none,,false
117,ff4b8cad3a81b3e55b143c689686134d134e2416,Abhishek Kumar,false,none,none,none,,false
118,d6986ce24fc00b0638bd29efe8fb7ba7619ed2aa,Abhishek Kumar,true,true,false,none,,false
119,73c7c8f68e7266bd558227bd9c598cb90b1673cc,Abhishek Kumar,false,none,none,none,,false
120,a21864486f7e220bd5938c6fb637613d9635739a,Abhishek Kumar,true,true,false,none,,false
121,202470d536b2cad22fa859f3e01202571c49ded9,Abhishek Kumar,true,false,false,none,,false
122,7fd350f6ff846f788ba5f6668bacf2ce4257ed8f,Abhishek Kumar,true,true,false,none,,false
123,e5a1fd997cc2deda1b08d5faae04625de0440a1e,Abhishek Kumar,false,none,none,none,,false
124,03c82e80ec283b115c56026ecdb95c901a57c51e,Abhishek Kumar,true,true,true,Exchange of Information,,false
125,ebe0582bee78e221b7d9f09ff22a530e0ddd6c96,Abhishek Kumar,false,none,none,none,,false
126,ac46d93235074a6c5d280d35771c23fd8620e7d9,Abhishek Kumar,true,true,true,Timing and execution,,false
127,da123016ca8cb5697366c0b2dd55059b976e67e4,Abhishek Kumar,true,true,true,Timing and execution,,false
128,d01ffb9eee4af165d83b08dd73ebdf9fe94a519b,Abhishek Kumar,true,true,true,Memory,,false
129,5352859b3bfa0ca188b2f1d2c1436fddc781e3b6,Abhishek Kumar,true,true,true,Exchange of Information,,false
130,80110bbfbba6f0078d5a1cbc8df004506db8ffe5,Abhishek Kumar,true,true,true,Memory,,false
131,fbe7e520036583a783b13ff9744e35c2a329d9a4,Abhishek Kumar,true,true,true,Memory,,false
132,6a4d333d540041d244b2fca29b8417bfde20af81,Abhishek Kumar,true,true,true,Exchange of Information,,false
152,0d7c1153d9291197c1dc473cfaade77acb874b4b,Abhishek Kumar,true,false,false,none,,false
153,439cf34c8e0a8a33d8c15a31be1b7423426bc765,Abhishek Kumar,true,false,true,Memory,Not 100% sure about memory related bug.,false
154,5c23b3f965bc9ee696bf2ed4bdc54d339dd9a455,Abhishek Kumar,true,true,false,none,,false
155,10af115646171afc0217177d6eae92917b785897,Abhishek Kumar,true,true,true,Timing and execution,,false
