id,commit_hash,reviewer,is_bug_fixing_commit,is_obvious_bug,is_safety_related,type_of_safety_related,comment,link_visited
1,ddec8ed2d4905d0967ce2ec432e440e582aa52c6,David,true,unknown,unknown,none,It is a fix (merge commit); as the message says it.,true
2,494603e06b3c8c0b29086b72f0bc41abf102fe0d,David,true,true,unknown,none,It is a fix; as the message says it; fixing a bug on the driver when detecting HBM.,true
3,cd36722d74733b748ae812e37dcfe035b420de67,David,true,none,unknown,none,It is a fix about a compatbility issue.,true
4,c6af53f038aa32cec12e8a305ba07c7ef168f1b0,David,false,none,none,none,Adding helpers,true
5,7d4a101c0bd3c6e5c6e45c705a54f7bc8f6c128d,David,false,none,none,none,Looks like an update more than a bug fixing,false
6,9b648bb1d89ef058196cff4fe3bd678ab7ebdb19,David,false,none,none,none,Message says it is for adding printings.,false
7,c579792562837ec2e64b006cfc9423e4177a4d26,David,true,false,unknown,none,Initialization of a variable to 0; due to a bug,true
8,cae9071bc5ea3096a5604e48e854740c12f7c1ec,David,false,none,none,none,Sorting functions,true
9,319fdbc9433c6a74fdb3993c9f5d9a1334068a21,David,false,none,none,none,Refactoring (moving handlers to a separate file),false
10,370d988cc529598ebaec6487d4f84c2115dc696b,David,true,false,false,none,Fixing a warning; possible future bug.,true
11,19629ae482f1800b50a5bdf2504ac57171d2bb82,David,true,unknown,unknown,none,Seems a fix of a bug; but don't know what kind of bug.,true
12,84cc69589700b90a4c8d27b481a51fce8cca6051,David,true,true,true,Memory,NULL pointer dereference; considered as safety related.,true
13,bf08387fb462ac7ab7dd4d3e4ac32728585bf625,David,true,true,false,none,It explains the behaviour of the bug and possible future consequences; and also it fixes it.,true
14,7fcf8a0050df003776d10602c9c52b57212f3345,David,false,none,none,none,It removes an useless extra check,false
15,462b728ea83fa85f1c0d2b79efb6187745444ce5,David,false,none,none,none,It looks like some refactoring done in this commit.,true
16,6184f15d877c6fec0af43ef3e10c10183758263d,David,false,none,none,none,The message says fix; but I had to check the commit code to realize that they were just removing comments; so there is not something to fix here.,true
17,ecd1a5f62eed35d812de8fe20703e21b551c6560,David,false,none,none,none,Looks like a feature more than a fix.,false
18,20f3507fdbf918353fc748aa99756955b8a273fa,David,false,none,none,none,Adding a new vendor to some place where they define vendors.,true
19,5f2f539901b0d9bda722637521a11b7f7cf753f1,David,false,none,none,none,It seems that they are refactoring more than fixing.,true
20,c0e582de6066e97c83a466f0e5983e3148123526,David,false,none,none,none,It seems a remove of useless code.,false
21,62d5f9f7110ad374db67ab4820f4ff2d916c3cdb,David,true,false,unknown,none,I would say that this commit is fixing a bug about a GPU error when initialization; maybe is considered as safety related.,true
22,88db8458086b1dcf20b56682504bdb34d2bca0e2,David,true,true,unknown,none,I think they are fixing several bugs here.,true
23,50b620303a14e885529410d26800f92a735724d6,David,false,none,none,none,Moving a return; nothing related to a bug fixing.,false
24,4ceca42d396eb5b7a80301e7d49a6d0012a17a43,David,true,unknown,unknown,none,It is fixing a bug; but I don't know if it safety related.,true
25,77dbd72b982ca648b42b4feac5f8b2ea55e4ed09,David,true,true,unknown,none,They are fixing with this pull a livepatch bug; could be considered as safety related commit because it fixes an init fail of Livepatch.,true
26,3ac5f2f2574a8b9e219bb5872166e5db797e349d,David,true,true,true,Timing and execution,They are fixing with this pull a livepatch bug; could be considered as safety related commit because it fixes an init fail of Livepatch.,true
27,0046686da0ef692a6381260c3aa44291187eafc9,David,true,true,true,Timing and execution,Fixing an bug that causes an exit error; considered as safety related bug.,true
28,da8c94c065174099853a207d9716a49d339b265f,David,false,none,none,none,Refactoring variable name.,true
29,62b488875c0551822ac3b961d04800d4c7a655d9,David,false,none,none,none,It does not look as a bug fixing commit; but the commit changes and the message are not easy to read.,true
30,fde212e44f45e491f8e3875084b587c0c2189078,David,false,none,none,none,Refactoring of some names,true
31,801db90bf294f647b967e8d99b9ae121bea63d0d,David,false,none,none,none,Refactoring for a better future debug.,false
32,18deddea9184b62941395889ff7659529c877326,David,true,unknown,true,Timing and execution,It is fixing a concurrency bug; so it is safety related.,true
33,c4d7f40b250c1a4d74ed259e84807f58032507b6,David,false,none,none,none,It seems a feature more than a bug fix.,true
34,ff4b8cad3a81b3e55b143c689686134d134e2416,David,false,none,none,none,It seems a feature more than a bug fix.,true
35,d6986ce24fc00b0638bd29efe8fb7ba7619ed2aa,David,true,false,false,none,It is fixing a bug; but not related to safety.,true
36,73c7c8f68e7266bd558227bd9c598cb90b1673cc,David,false,none,none,none,It seems a feature more than a bug fix.,true
37,a21864486f7e220bd5938c6fb637613d9635739a,David,true,unknown,unknown,none,It is fixing a but; but I don't understand the type.,true
38,202470d536b2cad22fa859f3e01202571c49ded9,David,false,none,none,none,It is a perfomance feature; in my opinion (I think).,true
39,7fd350f6ff846f788ba5f6668bacf2ce4257ed8f,David,true,true,unknown,none,They are fixing several bugs here; but I don't know if they are related to safety.,true
40,e5a1fd997cc2deda1b08d5faae04625de0440a1e,David,false,none,none,none,Refatoring code.,true
41,03c82e80ec283b115c56026ecdb95c901a57c51e,David,true,true,true,Memory,In this commit; they talk about fixing; and inside the message they specify some changes related to memory.,true
42,ebe0582bee78e221b7d9f09ff22a530e0ddd6c96,David,false,none,none,none,Refactor; using API instead of hand-writing code.,false
