id,commit_hash,reviewer,is_bug_fixing_commit,is_obvious_bug,is_safety_related,type_of_safety_related,comment,link_visited
1,ddec8ed2d4905d0967ce2ec432e440e582aa52c6,Michel,true,unknown,unknown,none,Looks like a fix but I'm not sure about the classification,true
2,494603e06b3c8c0b29086b72f0bc41abf102fe0d,Michel,true,unknown,unknown,none,Looks like a fix but not enough info,true
3,cd36722d74733b748ae812e37dcfe035b420de67,Michel,true,unknown,unknown,none,Looks like a fix but not enough info,true
4,c6af53f038aa32cec12e8a305ba07c7ef168f1b0,Michel,false,none,none,none,Only add helpers,false
5,7d4a101c0bd3c6e5c6e45c705a54f7bc8f6c128d,Michel,false,none,none,none,Only add sanity check,false
6,9b648bb1d89ef058196cff4fe3bd678ab7ebdb19,Michel,false,none,none,none,Only add debug print,false
8,c579792562837ec2e64b006cfc9423e4177a4d26,Michel,false,none,none,none,It seems to simply change how files/functions are displayed,false
9,319fdbc9433c6a74fdb3993c9f5d9a1334068a21,Michel,false,none,none,none,Move functions to new files (no new functionality or fixes),false
10,370d988cc529598ebaec6487d4f84c2115dc696b,Michel,false,none,none,none,Considered a fix but really just avoids a warning.,false
11,19629ae482f1800b50a5bdf2504ac57171d2bb82,Michel,true,unknown,unknown,none,Looks like a fix but no enough info,true
12,84cc69589700b90a4c8d27b481a51fce8cca6051,Michel,true,true,true,Memory,A null-pointer exception fix,true
13,bf08387fb462ac7ab7dd4d3e4ac32728585bf625,Michel,false,none,none,none,A condition is extended to cover only the necessary cases (and a section of code is not executed if it is not necessary).,true
14,7fcf8a0050df003776d10602c9c52b57212f3345,Michel,false,none,none,none,Only remove a warn flag,false
15,462b728ea83fa85f1c0d2b79efb6187745444ce5,Michel,false,none,none,none,Looks-like a refactor,true
16,6184f15d877c6fec0af43ef3e10c10183758263d,Michel,false,none,none,none,Only remove comments,true
17,ecd1a5f62eed35d812de8fe20703e21b551c6560,Michel,false,none,none,none,There was a commented code and it is uncommented,true
18,20f3507fdbf918353fc748aa99756955b8a273fa,Michel,false,none,none,none,Only add a prefix in a config file,true
19,5f2f539901b0d9bda722637521a11b7f7cf753f1,Michel,true,unknown,unknown,none,Indicated as a "Correct" but i didnt understand the change,true
20,c0e582de6066e97c83a466f0e5983e3148123526,Michel,false,none,none,none,An unreachable code is deleted,true
21,62d5f9f7110ad374db67ab4820f4ff2d916c3cdb,Michel,false,none,none,none,It appears to fix a change introduced earlier; in this case to supplement a case not contemplated. I am not sure to what extent it is a fix,true
22,88db8458086b1dcf20b56682504bdb34d2bca0e2,Michel,true,unknown,unknown,none,There are too many changes in this merge. It seems to include some fixes but each one may be completely different,true
23,50b620303a14e885529410d26800f92a735724d6,Michel,false,none,none,none,A condition is added so that when there are no interruptions; the code continues (saves time),true
25,4ceca42d396eb5b7a80301e7d49a6d0012a17a43,Michel,true,unknown,true,Exchange of Information,Looks like a fix on bus ¿maybe a safety-relelated?,true
