commit_link,Name,Did this fix a bug?,Safety relevant bug?,Timing + Execution,Memory,Exchange of Info,Reasoning
https://github.com/torvalds/linux/commit/f6007dce0cd35d634d9be91ef3515a6385dcee16,Adnan Chowdhury,yes,yes,,Yes,,Fix of a race condition which could possibly corrupt memory
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,John G,Yes,Yes,,Yes,,"""could [stuff...]... causing a use-after-free memory access"""
https://github.com/torvalds/linux/commit/71996bb835aed58c7ec4967be1d05190a27339ec,Hao Hu,Yes,Yes,no,no,no,Change SAS interface pointer
https://github.com/torvalds/linux/commit/e4e14095cc68a2efefba6f77d95efe1137e751d4,Hao Hu,no,no,yes,no,no,Remove extra dirty node flag
https://github.com/torvalds/linux/commit/75b2f7e4c9e0fd750a5a27ca9736d1daa7a3762a,Basit A.,yes,no,no,no,no,commit + superfluos function section data generation
https://github.com/torvalds/linux/commit/52954b750958dcab9e44935f0c32643279091c85,Aidan MacDonald,yes,yes,yes,no,possible,"cluster filesystem locking error causing hang - according to commit message, difficult to verify otherwise"
https://github.com/torvalds/linux/commit/86e16b87afac20779da1228d690a95c54d7e2ad0,Chris Phang,yes,no,no,no,no,kbuild dependency fix
https://github.com/torvalds/linux/commit/f530ee95b72e77b09c141c4b1a4b94d1199ffbd9,Tom Bloor,yes,maybe,no,yes,no,if youre rebooting during normal operation then... good luck?
https://github.com/torvalds/linux/commit/df203da47f4428bc286fc99318936416253a321c,Tom Bloor,yes,no,no,no,no,wouldnt compile without this fix
https://github.com/torvalds/linux/commit/98a15816636044f25be4644db2a3e09fad68aaf7,Aidan MacDonald,yes,no,no,no,no,Kbuild fix
https://github.com/torvalds/linux/commit/c8414dab164a74bd3bb859a2d836cb537d6b9298,William Salmon,yes,yes,no,yes,no,"Incorect handling of memory results in` NULL pointer dereference` this fix avoids this case by checking before asigning pointer, this causes a kernel crash which would cascade to a system failure."
https://github.com/torvalds/linux/commit/06ed09351b67eb1114ae106a87a0ee3ea9adb3db,William Salmon,yes,maybe,yes,no,no,"Fixes bug improving filesystem performace, could effect timing but would not be safety critical in a first order sence"
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,Weyman,yes,yes,yes,no,no,"Involves an event, a lock, and access of released resource (a crash)"
https://github.com/torvalds/linux/commit/64be47ba286117ee4e3dd9d064c88ea2913e3269,John G,No,No,,,,"Makes different things (""DPIA""?) preferred, sounds like enhancement rather than fx"
https://github.com/torvalds/linux/commit/a9ce385344f916cd1c36a33905e564f5581beae9,Paul Sherwood,yes,yes,yes,,yes,"bug related to timing in io function, so scheduling + info exchange?"
https://github.com/torvalds/linux/commit/1bb0763f1eb7dd015989fdc77dea17a349df2ea9,John G,Yes,Yes,,Yes,,"Commit message said so, diff includes a free*()ing function"
https://github.com/torvalds/linux/commit/ec5fa9fcdeca69edf7dab5ca3b2e0ceb1c08fe9a,Paul A,Yes,?,Yes,No,Yes,"[Why] section in commit message identifiies incorrect outcome ""userspace will react to the hotplug event based on a wrong state"""
https://github.com/torvalds/linux/commit/5229a658f6453362fbb9da6bf96872ef25a7097e,Ivan Orlov,yes,no,yes,no,yes,Commit message + code which stops FS trimming when suspend
https://github.com/torvalds/linux/commit/7908632f2927b65f7486ae6b67c24071666ba43f,Basit A.,yes,no,yes,no,no,"commit message + interrupt service routines using mutexes "
https://github.com/torvalds/linux/commit/b11243f720ee5f9376861099019c8542969b6318,Sam L,yes,no,no,no,yes,"Previous code doesn't reschedule packet, packets are now rescheduled properly I think??"
https://github.com/torvalds/linux/commit/ab43213e7afd08ac68d4282060bacf309e70fd14,Anton Pyntikov,yes,yes,yes,yes,,Fix memory coherency
https://github.com/torvalds/linux/commit/7c6339322ce0c6128acbe36aacc1eeb986dd7bf1,Sam L,yes,yes,yes,yes,no,Previous code locked the wrong lock...
https://github.com/torvalds/linux/commit/cfaa80c91f6f99b9342b6557f0f0e1143e434066,Basit A.,yes,yes,no,yes,yes,commit message + use after free
https://github.com/torvalds/linux/commit/81cc8779cf46d6323c83475706b61d9552230274,Poppy,yes,?,no,no,yes,Metrics table filler fails correctly.
https://github.com/torvalds/linux/commit/1832403cd41ca6b19b24e9d64f79cb08d920ca44,Sam L,yes,no,yes,no,no,I think HDP registers are only related to caching so not safety related
https://github.com/torvalds/linux/commit/954998b60caa8f2a3bf3abe490de6f08d283687a,Paul Sherwood,yes,no,no,no,yes,
https://github.com/torvalds/linux/commit/6cc834ba62998c65c42d0c63499bdd35067151ec,Basit Ayantunde,yes,yes,yes,yes,no,commit message + underreserved memory
https://github.com/torvalds/linux/commit/139a27854bf5ce93ff9805f9f7683b88c13074dc,Paul Sherwood,no,no,no,no,no,i think this is just a slight performance improvement
https://github.com/torvalds/linux/commit/f5b2c10b57615828b531bb0ae56bd6325a41167e,Gavin McCall,yes,no,yes,,,"""not valid"""
https://github.com/torvalds/linux/commit/dae40be7a1a72474e225795c0d6f43a4ac596a3f,Tom Bloor,yes,yes,yes,yes,no,Race condition leading to incorrect reference counting and use after free. also strawberries
https://github.com/torvalds/linux/commit/8982f7aff39fb526aba4441fff2525fcedd5e1a3,Chris Phang,yes,no,no,no,no,Fixing accuracy of error reporting
https://github.com/torvalds/linux/commit/a22730b1b4bf437c6bbfdeff5feddf54be4aeada,Dickon Hood,Yes,Yes,No,Yes,Yes,Socket handling error under error conditions
https://github.com/torvalds/linux/commit/97e3c6a853f2af9145daf0c6ca25bcdf55c759d4,,,,,,,
https://github.com/torvalds/linux/commit/e86fcf0820d914389b46658a5a7e8969c3af2d53,Nathan,Yes,no,no,no,yes,Reverts a commit that had a false assumption that did an error out instead of a garbage out. This doesn't effect the outcome both still count as a fail.
https://github.com/torvalds/linux/commit/c48ef9c4aed3632566b57ba66cec6ec78624d4cb,John G,Yes,Yes,,,Yes,Fixes issue in network address handling
https://github.com/torvalds/linux/commit/8a81cf96f5510aaf9a65d103f7405079a7b0fcc5,,,,,,,
https://github.com/torvalds/linux/commit/25e73b7e3f72a25aa30cbb2eecb49036e0acf066,Ivan Orlov,yes,no,yes,no,no,one instruction compiles as another
https://github.com/torvalds/linux/commit/88956eabfdea7d01d550535af120d4ef265b1d02,Frank M,yes,yes,no,"Yes ",no,Removes dereferencing of  null pointer
https://github.com/torvalds/linux/commit/ef064187a9709393a981a56cce1e31880fd97107,John G,Yes,Yes,,Yes,,"""it makes page table base points to wrong address if..."""
https://github.com/torvalds/linux/commit/df1c357f25d808e30b216188330e708e09e1a412,Kas,Yes,Yes,No,Yes,No,"Multiple folio fscache start calls can cause page dumps - simple check if the start has been called already fixes the bug. "
https://github.com/torvalds/linux/commit/12d21fc2ba88e3bb41167afb5c6c0e961f2ab0c9,Ivan Orlov,yes,no,no,yes,no,"fwnode is released somewhere else, so possible double free"
https://github.com/torvalds/linux/commit/8e7f82deb0c0386a03b62e30082574347f8b57d5,JZ,Yes,Yes,Yes,Yes,yes,"race condition between adding and reading data, resulting in trying to add two entries with the same index"
https://github.com/torvalds/linux/commit/c86e9ae5e3ad82969fe395414d1d9f173f8e9fd4,Aidan MacDonald,yes,no,no,no,no,another kbuild fix!!
https://github.com/torvalds/linux/commit/c91774818b041ed290df29fb1dc0725be9b12e83,Tomas Veiga,Yes,No,Yes,no,no,
https://github.com/torvalds/linux/commit/9af86694fd5d387992699ec99007ed374966ce9a,Bob,Yes,no,yes?,no,no,i think this fixes a race condition when two processes are trying to write at once?  Though if someone is using FUSE or btrfs in a safety critical system we have other issues :D
https://github.com/torvalds/linux/commit/bc6ed2fa24b14e40e1005488bbe11268ce7108fa,Jeeeun,yes,yes,no,yes,no,fixes the issue that igb module might hang or clash by clearing the variable
https://github.com/torvalds/linux/commit/ccf1dab96be4caed7c5235b1cfdb606ac161b996,Tomas Veiga,yes,?,yes,no,,
https://github.com/torvalds/linux/commit/8cdd9f1aaedf823006449faa4e540026c692ac43,,,,,,,
https://github.com/torvalds/linux/commit/5e7e82254270c8cf8b107451c5de01cee2f135ae,Gavin McCall,yes,?,,,yes,Null data returned
https://github.com/torvalds/linux/commit/1bfb2b618d52e59a4ef1896b46c4698ad2be66b7,Richard Dale,yes,no,yes,yes,no,Fixes RISC-V memory alignment issue at startup
