commit_link,Name,Did this fix a bug?,Safety relevant bug?,Timing + Execution,Memory,Exchange of Info,Reasoning
https://github.com/torvalds/linux/commit/f6007dce0cd35d634d9be91ef3515a6385dcee16,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/71996bb835aed58c7ec4967be1d05190a27339ec,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/e4e14095cc68a2efefba6f77d95efe1137e751d4,Michel M.,?,,,,,not sure
https://github.com/torvalds/linux/commit/75b2f7e4c9e0fd750a5a27ca9736d1daa7a3762a,Michel M.,no,,,,,change on Makefile - no code change
https://github.com/torvalds/linux/commit/52954b750958dcab9e44935f0c32643279091c85,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/86e16b87afac20779da1228d690a95c54d7e2ad0,Michel M.,no,,,,,change on Kconfig - no code change
https://github.com/torvalds/linux/commit/f530ee95b72e77b09c141c4b1a4b94d1199ffbd9,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/df203da47f4428bc286fc99318936416253a321c,Michel M.,yes,,,,,commit msg indicates that this change fixes a bug introduced in another commit
https://github.com/torvalds/linux/commit/98a15816636044f25be4644db2a3e09fad68aaf7,Michel M.,no,,,,,change on Kconfig - no code change
https://github.com/torvalds/linux/commit/c8414dab164a74bd3bb859a2d836cb537d6b9298,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/06ed09351b67eb1114ae106a87a0ee3ea9adb3db,Michel M.,?,,,,,looks like a refactor - rename variable page
https://github.com/torvalds/linux/commit/9c3034968ed0feeaf72e5b549b19c7767a1a04f2,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/64be47ba286117ee4e3dd9d064c88ea2913e3269,Michel M.,yes,,,,,commit message indcates that is a fix
https://github.com/torvalds/linux/commit/a9ce385344f916cd1c36a33905e564f5581beae9,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/1bb0763f1eb7dd015989fdc77dea17a349df2ea9,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/ec5fa9fcdeca69edf7dab5ca3b2e0ceb1c08fe9a,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/5229a658f6453362fbb9da6bf96872ef25a7097e,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/7908632f2927b65f7486ae6b67c24071666ba43f,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/b11243f720ee5f9376861099019c8542969b6318,Michel M.,yes,,,,,
https://github.com/torvalds/linux/commit/ab43213e7afd08ac68d4282060bacf309e70fd14,Michel M.,yes,,,,,commit msg indicates that the change is needed for HDP flush to work correctly 
https://github.com/torvalds/linux/commit/7c6339322ce0c6128acbe36aacc1eeb986dd7bf1,Michel M.,yes,,,,,
