hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
a4c82270f0,David1,3,Corrects validation issues within the device tree schema.,0,4,0,0,0,0,,,,,,,55.56434726715088,False,False,,False,False,
e60414644c,David1,4,Bug fixing overlaping.,4,1,0,0,0,0,4.0,2.0,4.0,0.0,0.0,Overlap for me is something in tme of execution,62.052204847335815,False,False,,False,False,
9995c1d096,David1,3,"Improving the BE transition, not fixing but preventing",3,3,0,0,0,0,0.0,3.0,,,4.0,Exchange of info a it is in state transitions,127.89571189880373,False,False,,False,False,
7e193a42c3,David1,3,"Fixing, a bug in some specific  cases",4,0,0,0,0,0,0.0,3.0,,,4.0,bit exchaning,48.15793037414551,False,False,,False,False,
0966d38583,David1,1,Fixing range checks,4,0,0,0,0,0,0.0,3.0,4.0,,,"It could be  a time and execution, because of the checks ",95.15974473953248,False,False,,False,False,
f0b6d3cc29,David1,4,Increases timeout to solve delays,1,4,0,0,0,0,0.0,4.0,4.0,,,"Delay when hard-reset, it is a time of execution commit.",135.88128972053528,False,False,,False,False,
d6f8168e43,David1,4,Changing the type of a return to get rid of a warning.,0,4,0,0,0,0,,,,,,,66.58284974098206,False,False,,False,False,
1cec8bbc17,David1,4,"Changing the tests, it says -No functional change intended-, it is preventing commit.",0,4,0,0,0,0,,,,,,,22.53449535369873,False,False,,False,False,
1ac7fd8159,David1,4,Adding support to a new format.,0,0,0,4,0,0,,,,,,,73.05231189727783,False,False,,False,False,False
afb8d5f431,David1,4,Addresses warning by making IRQ chip immutable improving code stability,0,4,0,0,0,0,,,,,,,51.03120422363281,False,False,,False,False,False
e52432e164,David1,4,Added a length check to avoid a compiler warning.,0,4,0,0,0,0,,,,,,,18.537035703659058,False,False,,False,False,False
ed482dc8c7,David1,4,Adding a include to prevent some future problems.,0,4,0,0,0,0,,,,,,,127.94146943092346,False,False,,False,False,False
11c2bf4a20,David1,4,Preventing a failure in a switch-case.,0,4,0,0,0,0,,,,,,,35.568161487579346,False,False,,False,False,False
647df0d41b,David1,4,Changing the formatting to avoid a warning.,0,4,0,0,0,0,,,,,,,89.9370493888855,False,False,,False,False,False
ec80906b0f,David1,4,Fixing a bug in the tests.,4,0,0,0,0,0,0.0,0.0,,,,,28.79569292068481,False,False,,False,False,False
dca4f5fdbc,David1,4,It seems that is preventing future errors,0,4,0,0,0,0,,,,,,,68.50066947937012,False,False,,False,False,False
0a3a4b9d2b,David1,4,Increasing the size of an array.,0,4,0,0,0,0,,,,,,,24.828343629837036,False,False,,False,False,False
d6501ecfb6,David1,4,Corrects the format of print statements to avoid errors,4,0,0,0,0,0,0.0,0.0,,,,,20.15475606918335,False,False,,False,False,False
2703c16c75,David1,3,Prevents port management conflicts across endpoints,0,4,0,0,0,0,0.0,4.0,4.0,0.0,0.0,,101.58043909072876,False,False,,False,False,False
ad72c3c3f6,David1,4,Removes unnecessary use of BUG_ON to reduce false positives,4,0,0,0,0,0,0.0,0.0,,,,,16.33069610595703,False,False,,False,False,False
570a4bf744,David1,3,Check to avoid a 0 value.,4,0,0,0,0,0,0.0,4.0,0.0,0.0,4.0,Passing values,30.946584463119507,False,False,,False,False,False
302e9edd54,David1,1,Adjusted traces to be triggered within the instance rather than at a higher level.,0,4,0,0,0,0,,,,,,,28.42467212677002,False,False,,False,False,False
3470079687,David1,4,Fixing some error on a drive while the interface is up.,4,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,Interface up = time an execution,38.14847230911255,False,False,,False,False,False
1c33f8508b,David1,4,Addresses a warning issue that could lead to potential problems.,0,4,0,0,0,0,,,,,,,12.632082462310791,False,False,,False,False,False
f33b56d370,David1,4,Adjusting maximum frame rate reporting for different modes,4,0,0,0,0,0,0.0,0.0,,,,,18.569456338882446,False,False,,False,False,False
abe3c63144,David1,4,"Might cause, so it is preventing a future memory allocation issue.",0,4,0,0,0,0,,,,,,,27.28542947769165,False,False,,False,False,False
6cc2714e85,David1,4,Fixing a issue/bug on a test (Change constant in size comparison).,4,0,0,0,0,0,0.0,0.0,,,,,23.86305856704712,False,False,,False,False,False
d9edc4bc67,David1,4,Preventing something in the future with a re-implementation.,0,4,0,0,0,0,,,,,,,42.86989903450012,False,False,,False,False,False
9577fc5fdc,David1,4,Fixes the way an error is returned,0,0,4,0,0,0,,,,,,,14.836482524871826,False,False,,False,False,False
fd8b330ce1,David1,4,Removing duplicated.,0,0,4,0,0,0,,,,,,,20.18236494064331,False,False,,False,False,False
42da167bbd,David1,4,Changing only names.,0,0,4,0,0,0,,,,,,,18.546926736831665,False,False,,False,False,False
cff35798fa,David1,3,Fixing a bug related to CU mask handling,4,2,0,0,0,0,0.0,0.0,,,,,30.00148916244507,False,False,,False,False,False
f9cdf41306,David1,4,It fixed a commit. Corrects logic for selecting the appropriate port for sending VBT packets ensuring proper communication,4,0,0,0,0,0,0.0,4.0,0.0,0.0,4.0,Ports -> exchange of information,46.27528476715088,False,False,,False,False,False
9a10064f56,David1,4,"It is preventing some error storying the names, maybe is also a NFC.",0,3,0,2,0,0,,,,,,,40.389880657196045,False,False,,False,False,False
bdf240188b,David1,4,"Introduces new flag for handling image layout modifications, preventing something.",0,4,0,0,0,0,,,,,,,73.81519770622253,False,False,,False,False,False
1b929c02af,David1,4,Releasing a new candidate.,0,0,4,0,0,0,,,,,,,23.540942192077637,False,False,,False,False,False
