hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
0704a8586f,David,3,Revamped the approach to creating sysfs files.,0,0,4,0,2,0,,,,,,,924.597080399453,True,True,,False,False,True
c5e97ed154,David,3,"Utilized an alternative method for accessing properties, bypassing the need for casting.",0,0,4,0,0,0,,,,,,,299.481765010564,True,True,,False,True,True
4f9f531e15,David,4,Eliminated redundant code.,0,1,4,0,0,0,,,,,,,761.848252928204,True,True,,False,False,True
258030acc9,David,3,Reduced the variable size to optimize the struct size.,0,0,4,0,0,0,,,,,,,23.8043552088196,True,True,,False,True,True
5b2c5540b8,David,3,Ensured that error codes returned reflect the actual error rather than intermediate codes.,3,2,0,0,0,0,2.0,2.0,0.0,0.0,3.0,"It could be an exchanging information bug, as it is something related to return an correct error.",1526.73956942878,True,True,,False,True,True
6440a6c23f,David,2,Added necessary flags for passing SRC and DEST of MAC addresses to the xdsock command.,0,0,0,4,2,0,,,,,,,628.758502389941,True,True,,False,True,True
3044a4f271,David,3,Abstracted a check into a separate function.,0,0,4,0,0,0,,,,,,,397.420609815659,True,True,,False,True,True
8512559741,David,4,Extended functionality to incorporate new drop reasons.,0,0,0,4,2,0,,,,,,,863.653697065132,True,True,,False,True,True
727e60604f,David,4,Removed comment.,0,0,4,0,0,0,,,,,,,182.286291753672,True,True,,False,False,False
79dcd4e840,David,3,Modifying a configuration file.,0,0,0,0,0,0,,,,,,,902.455545701126,True,True,,False,True,True
4d2a3c169b,David,4,Modify comments.,0,0,4,0,0,0,,,,,,,926.717318070701,True,True,,False,False,False
18451db82e,David,4,Introduced a new function.,0,0,0,3,0,0,,,,,,,730.904423597788,True,True,,False,True,True
aecf89f2f8,David,4,Adding support for a new device.,0,0,0,4,4,0,,,,,,,957.473000188975,True,True,,False,True,True
3b9cb4ba4b,David,4,Refactor code.,0,0,4,0,0,0,,,,,,,729.507270620253,True,True,,False,True,True
f2fed022aa,David,4,Optimized code by utilizing swap instead of auxiliary variables.,0,0,4,0,0,0,,,,,,,69.5246158135617,True,True,,False,False,True
9a10064f56,David1,4,"It is preventing some error storying the names, maybe is also a NFC.",0,3,0,2,0,0,0.0,2.0,2.0,2.0,0.0,"Could be a safety memory safety bug, as it is related to memory changes, but also related to timing and execution.",40.389880657196045,False,False,,False,False,False
1eba86c096,David,3,Resolved a fix to prevent memory corruption.,4,4,0,0,0,0,0.0,4.0,0.0,4.0,0.0,"Clear fixing of a memory problem, pages management in the kernel.",1094.65940760946,True,True,,False,True,True
f4c6d22c6c,David,4,Updated a comment for clarity.,0,0,4,0,0,0,,,,,,,843.652730124816,True,True,,False,True,True
016017a195,David,2,"Utilized ifndef in an else branch to selectively run on specific architectures, avoiding compilation errors.",3,3,0,0,0,0,0.0,0.0,,,,,204.556791191942,True,True,,False,False,False
11c2bf4a20,David1,4,Preventing a failure in a switch-case.,0,4,0,0,0,0,0.0,0.0,,,,,35.568161487579346,False,False,,False,False,False
72de208f2b,David,4,Removed an unnecessary cast.,0,0,4,0,0,0,,,,,,,676.697863728603,True,True,,False,True,True
0519f73adb,David,4,Refactored a name for clarity.,0,0,4,0,0,0,,,,,,,791.345077903478,True,True,,False,True,True
088c840599,David,3,Warning fixing.,0,0,4,0,0,4,,,,,,,600.953840109815,True,True,,False,True,True
f346f32701,David,4,Updated the list of maintainers without altering the source code.,0,0,0,0,0,0,,,,,,,18.544683495091,True,True,,False,False,False
3ac5f2f257,David,4,Added a descriptive comment.,0,0,4,0,0,0,,,,,,,294.533737738719,True,True,,False,False,False
e1553351d7,David,4,Removed unnecessary code.,0,0,4,0,0,0,,,,,,,867.163216834216,True,True,,False,False,False
340a02535e,David,4,Moved certificates to a different location.,0,0,4,0,0,0,,,,,,,441.019540158475,True,True,,False,False,False
2fadc6ea4a,David,2,Removed two lines from a configuration file as part of a larger patch set.,0,0,3,0,0,0,,,,,,,931.005244083882,True,True,,False,True,True
9a9acdccdf,David,3,Ensured the appropriate function is called for error handling.,4,0,0,0,0,0,2.0,0.0,,,,,447.20543669923,True,True,,False,False,True
3364c6ce23,David,3,Warning fixing,0,4,0,0,0,2,,,,,,,702.24604639154,True,True,,False,False,True
805a3ebed5,David,4,Refactored code for better comprehension.,0,0,4,0,0,0,,,,,,,947.019347380119,True,True,,False,True,True
e973746882,David,1,"Addressed a borderline case scenario, though understanding is limited.",2,2,1,2,2,0,,,,,,,694.340571723379,True,True,,False,True,True
9b51d9d866,David,3,Replaced a function with a more accurate one.,0,0,4,0,0,0,,,,,,,716.89102707659,True,True,,False,True,True
1ac7fd8159,David1,4,Adding support to a new format.,0,0,0,4,0,0,,,,,,,73.05231189727783,False,False,,False,False,False
a8db854be2,David1,4,Preventing future bugs moving correctly a condition.,0,4,0,0,0,0,,,,,,,12.86086082458496,False,False,,False,False,False
84d46e1fc3,David,4,Removed unused code.,0,0,4,0,0,0,,,,,,,271.081484819481,True,True,,False,False,True
dd4516aee3,David,4,Made changes solely to test code.,0,0,4,0,0,0,,,,,,,435.352277861576,False,True,,False,True,True
d11a327ed9,David,2,Difficult to understand but it seems that the commit is related to previous workaround.,4,0,0,0,0,0,2.0,2.0,0.0,0.0,0.0,"It seems it is not safety related, but im not totally sure.",645.372708857427,True,True,,False,False,True
aa814c51ab,David,2,"Updated a Makefile, unsure if it's a refactor or introduces a new function.",0,0,1,3,0,0,,,,,,,956.404494156579,True,True,,False,False,True
8001fa240f,David,4,Eliminated dead code.,0,0,4,0,0,0,,,,,,,550.853676087061,True,True,,False,False,True
d1ad2721b1,David,4,Added a file to a warning list.,0,0,4,0,0,0,,,,,,,758.817989668265,True,True,,False,False,True
1f2cfdd349,David,3,Fixed code that introduced a regression.,4,0,4,0,0,4,2.0,0.0,,,,,6.7449015489076,True,True,,False,True,True
edb854a368,David,3,Fixed a bug related to memory leaks.,4,0,0,0,0,0,2.0,3.0,0.0,3.0,0.0,"Memory allocation fixing bug, avoids huge memory wasting.",696.136345142939,True,True,,False,False,True
bd2db32e7c,David,3,Moved the call to free memory to a later stage where it could be queried.,3,0,0,0,0,0,0.0,3.0,0.0,3.0,0.0,"It is fixing a bug with the memory access, fixing how it is managed.",243.426480049852,True,True,,False,False,True
71702c495b,David,3,Added a condition to prevent a function from executing at some point.,4,0,0,0,0,0,2.0,0.0,,,,,501.295099028651,True,True,,False,False,True
e6b0337513,David,3,Corrected the usage of a variable to enable a correct reboot.,4,0,0,0,0,0,2.0,2.0,,,,,250.827528354703,True,True,,False,False,True
ffc58bc4af,David,4,Enhanced code readability.,0,0,4,0,0,0,,,,,,,889.779723209974,True,True,,False,False,True
5bfa685e62,David,4,Corrected status reading from direct hardware to hardware virtualization.,4,0,0,0,0,0,4.0,2.0,,,,,283.672191097205,True,True,,False,False,True
837cf45df1,David,4,"Time of execution problem, avoding a race condition.",4,0,0,0,0,0,2.0,4.0,4.0,0.0,0.0,"It is clearly fixing a race condition, so time of execution problem.",319.6206211225,True,True,,False,True,False
3a55f72924,David,2,Seems to have something to avoid a condition that could hang the code.,4,0,0,0,0,0,2.0,4.0,4.0,0.0,0.0,"It can hang the code, so it is a time of execution bug.",646.748734666909,True,True,,False,True,True
e2b993302f,David,2,"Added a new condition to mitigate a warning, among other things.",3,3,0,0,0,4,4.0,0.0,,,,,609.669946380837,True,True,,False,True,True
7d547dcf97,David,4,Added a maintainer.,0,0,0,0,0,0,,,,,,,604.841143471726,True,True,,False,False,True
302e9edd54,David1,1,Adjusted traces to be triggered within the instance rather than at a higher level.,0,4,0,0,0,0,0.0,0.0,,,,,28.42467212677002,False,False,,False,False,False
316f710172,David,4,Added a missing memory deallocation.,4,0,0,0,0,0,0.0,4.0,0.0,4.0,0.0,"Safety Related, memory type as it is related to free some memory pointers.",180.019457512597,True,True,,False,True,False
6c1f41afc1,David,2,Fixed an erroneous assumption.,4,0,0,0,0,0,0.0,2.0,,,,,188.134734949955,True,True,,False,True,True
e3d5ea2c01,David,4,Preventing commit in order to avoid an inifinite loop.,4,0,0,0,0,0,2.0,4.0,4.0,0.0,0.0,Infinite loop during execution is a safety bug about timing and execution.,728.98031021746,True,True,,False,True,True
