hash,annotator,understand,purpose,bfc,bpc,asc,obvious,safety,timing,memory,info,safety_exp
de29aff976,David,2,It is a merge request merging several patches in one commit. The comment specifies that fixes different things related to two drivers.,3,3,2,0,2.0,2,4,2,"It seems to fix a bug but is not obvious because it is not written in the comment. I'm not sure about if it Safety-Related. What is clear that the author says ""The 1st patch is by me and fixes the freeing of a skb"" it is related to Memory. But there are many patches here to analyze."
72f56fdb97,David,3,It is fixing a bug from some links between libraries. Using better links instead of using headers of a different file.,4,3,2,4,3.0,2,2,4,It is fixing an exchange of information bug. Using the correct variable in a conditional. I address that as Exchange of information.
e0daf14d9f,David,4,Support for a driver,0,0,0,0,0.0,0,0,0,It is not a bug. It is adding a prelimiary change for a driver support.
546ff98eb3,David,3,Setting things correctly in the bluetooth driver set.,1,3,4,0,0.0,0,0,0,For me it is preventing a bug in the future. Not obvious indeed maybe I'm wrong.
75caf33eda,David,1,I'm not sure what are the implications of adding the rethook to x86. It looks like a feature.,1,0,0,0,0.0,0,0,0,I would say that it is a feature.
e581094167,David,3,Fixing an specific case.,3,3,4,4,3.0,2,2,2, As it is solving an specific case it is fixing a bug or a future bug. But I don't get looking at the code if the bug is safety related.
4ce2ca4b37,David,4,It is fixing the path of a file for showing correctly the helpers of Displayport.,4,0,0,0,0.0,0,0,0,It is fixing the bug of choosing the right path for a helpers file. It is not a safety related bug.
8de223b94b,David,4,Fixing a comment not a bug.,0,0,0,0,0.0,0,0,0,It says fix but is a comment fix.
0bd6c4a131,David,3,It is a feature. Don't understand the code itself but it seems a feature.,0,1,2,0,0.0,0,0,0,Maybe it is solving a future bug. Not clear.
56ca49cf60,David,4,Releasing a new version,0,0,0,0,0.0,0,0,0,It is not a bug.
974d5ef0dd,David,4,Removing code that is not used as it is protected in a different code.,0,0,0,0,0.0,0,0,0,It is not a bug but a refactor.
e2d8ea4320,David,4,changing an error msg to a warning msg in an specific case with a display.,0,0,0,0,0.0,0,0,0,I don't consider this commit as a BFC.
e56694f718,David,4,Changin a name due to conventions.,0,0,0,0,,0,0,0,It is not a bug since it is not solving any problem.
6d33f0e820,David,3,Removing part of the code that unassing a link that would be used in the future execution.,3,1,0,4,3.0,4,0,0,The bug is produced during an execution.
d7d7ddc156,David,2,I get that they are moving a sentence to a different place but I don't get the reason because I'm not familiar with the BO terminology.,0,3,0,2,0.0,0,0,0,It could be a Bug preventing commit since it is talking about an specific case.
7fd7d70181,David,3,Adding support/feature.,0,0,0,0,0.0,0,0,0,It is not a bug since it is adding support.
f9806a1720,David,4,Adding a helper to a version of the display driver.,0,0,0,0,0.0,0,0,0,It is adding the helper for an specific version of the display driver.
cec2cc7b1c,David,4,Fixing a typo in a comment,0,0,0,0,0.0,0,0,0,It is not a bug.
088604d37e,David,2,It describes a missbehaviour with a flag that should be removed.,1,3,0,2,2.0,2,2,2,I'm not sure about the bug type when it occurs.
90f45c42d7,David,3,It is adding a feature. In this case a new param.,0,0,0,0,0.0,0,0,0,It is not a bug but a feature.
45a3e06be4,David,4,It is a feature improving a part of the code. Using IP versions directly than checking asic_type.,0,0,0,0,0.0,0,0,0,It is a feature.
