hash,annotator,understand,purpose,bfc,bpc,asc,obvious,safety,timing,memory,info,safety_exp
de29aff976,Michel,2,It is a merge commit that includes 13 commits in total. The first one clearly indicates that it is a fix.The remaining ones seem to include some fixes as well.,4,0,0,0,2.0,,,,"It does not explain exactly the consequences of the bug, but simply fix how some memory is released"
72f56fdb97,Michel,3,"A potentially problematic dependency is eliminated, a variable that, depending on another variable, may or may not be imported correctly. This problematic is eliminated by replacing it with another variable with the same value.",4,3,0,4,0.0,,,,"I think it is a bug that really only affects the construction under certain parameters, it should not affect runtime"
e0daf14d9f,Michel,4,The patch is a preliminary workaround to provide USB support for a driver.,0,0,0,0,,,,,Clearly prepares/expands methods to support new functionality
546ff98eb3,Michel,1,"I do not quite understand the change, it seems that a set is added to a blutooth driver for consistency, but not for being a fix as such.",1,0,0,0,,,,,Nothing seems to indicate that it is a fix
75caf33eda,Michel,3,The commit indicates that an implementation has been copied/pasted.,0,0,0,0,,,,,"I don't see any indication that this is a fix, it just adds new implementation."
e581094167,Michel,4,"Fixed a bug in the case of PMD_SIZE, giving default values so that the program can work",4,2,0,4,3.0,2.0,,,"It is undoubtedly a fix. What is perhaps questionable is the scope of the bug and if it really is a Safety Related, how critical can the bug be? I estimate that it is possible that the execution is blocked by a bug, but honestly, I'm not sure."
4ce2ca4b37,Michel,4,Fixes the includes to consider that the .h files are located in a different folder,3,2,2,2,0.0,,,,"It looks like a fix for something that should give problems at compile time, not run time. It's still a fix, but it's strange that there were no problems in previous commits."
8de223b94b,Michel,4,Its just a change on docs,0,0,0,0,,,,,Its just a change on docs
0bd6c4a131,Michel,4,It seems to change the way certain logs are painted at a particular point in the code,0,0,0,0,,,,,"It only changes the way a log is painted, it does not solve any problem/bug"
d29c993027,Michel,4,It seems to refactor the code to make it less repetitive.,0,0,0,0,,,,,It's just a refactor
56ca49cf60,Michel,3,"Looks like a version change, not a change in functionality",0,0,0,0,,,,,"Looks like a version change, not a change in functionality"
974d5ef0dd,Michel,4,Code marked as unnecessary is removed,0,0,0,0,,,,,"This is a maintenance of the code quality, no bugs are fixed."
e2d8ea4320,Michel,4,An error log is changed to warning,0,0,0,0,,,,,"It does not fix any bug, it simply changes the logging level."
e56694f718,Michel,4,The name of a method is renamed,0,0,0,0,,,,,"This is a refactoring, no real changes in operation/no bugs fixed."
6d33f0e820,Michel,2,I understand that a value was being unassigned and this caused a bug. The problematic if branch is removed,3,0,0,2,2.0,,,,"I can see that it is a bug, but I do not see its scope and therefore I do not know how to understand the error it causes and how critical it is."
d7d7ddc156,Michel,2,The aquire is moved from a file lock (where it is no longer needed) to another file that now needs it.,1,2,2,2,,,,,"I'm not sure if this is preventing an error at some point. If it is an error, it would probably be ""Timming and Execution""."
b1c87b0874,Michel,3,Replaces the resetting of a queue with another method,4,4,0,2,2.0,,,,"This is a preemptive fix, although no details are given as to how the system might fail."
574ff46f10,Michel,4,"Fixes a problem that when a variable has not been properly initialized, it was not exiting the function correctly.",4,0,0,4,2.0,,,,"This is clearly a fix, but the scope of the error is not clear to me."
66755b4871,Michel,3,Looks like a refactoring that moves code,0,0,0,0,,,,,Doesn't seem to fix anything
7fd7d70181,Michel,3,Added code to support the nomodeset parameter in drivers,1,0,0,0,,,,,"It seems to be just trying to extend the functionality. It could turn out to be a bug, but it's not clear to me."
4a564e59bf,Michel,4,"A refactoring is carried out, extracting functionality to a method",0,0,0,0,,,,,It's a refactor
f9806a1720,Michel,4,A case is added to a switch-case statement to support a particular version,1,0,0,0,,,,,"It is possible that it could give some error because it is not supported (and go to default), but it does not seem to be a fix as such."
cec2cc7b1c,Michel,4,Just fix a typo on a comment,0,0,0,0,,,,,Just fix a typo on a comment
088604d37e,Michel,3,"The change deletes a flag that, in cases where concurrent programming with threads is not performed, makes an unnecessary lock.",4,2,0,0,3.0,4.0,,,"The concurrency problems are complex. I think it may result in a safety-related bug related to locks, but I don't have enough knowledge to say for sure."
90f45c42d7,Michel,1,"I don't quite understand the change, it seems that a sysprof parameter is added for certain tools.",1,0,0,0,,,,,"It doesn't seem to fix an error a priori, but I don't understand the change at all."
45a3e06be4,Michel,1,"A conditional is changed, but I don't understand what it implies",1,2,0,2,,,,,I do not understand the change
74b0fe8040,Michel,3,"This is a bug that comes from another fix. Basically it changes the way it reads from 8 bytes to 4 bytes, since it could produce an error.",4,2,0,4,2.0,,,,"Although it is clearly a fix, it is not clear to me the consequences of the error to classify it as safety-related or not."
