hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
0704a8586f,Abhishek,4,Updates the way sysfs files are created.,0,3,4,0,0,0,,,0.0,0.0,0.0,,56.24983882904053,False,True,,False,False,True
c5e97ed154,Abhishek,4,Avoid unnecessary type casts.,0,4,4,0,0,0,,,0.0,4.0,0.0,,17.19937300682068,False,True,,False,True,
4f9f531e15,Abhishek,4,"Makes a change in the qed code of the Linux kernel. Also, removes some dead code.",0,4,4,0,0,0,,,0.0,0.0,0.0,,43.3049259185791,False,True,,False,False,
258030acc9,Abhishek,4,Optimizes the memory layout of the dsa_switch structure in the DSA  subsystem of the Linux kernel. ,0,4,4,0,0,0,,,0.0,2.0,0.0,,17.6618812084198,True,True,,False,True,
5b2c5540b8,Abhishek,4,Addresses inconsistencies in the return codes provided by tcp_bpf_recvmsg_parser().,4,0,0,0,0,0,4.0,3.0,0.0,0.0,4.0,"The issue involves the exchange of information between the kernel and applications regarding the state of network operations, specifically through error codes.",15.321545124053957,False,True,,False,True,
6440a6c23f,Abhishek,4,Introduces new feature to set destination and source MAC addresses for Tx-only operations in xdpsock.,0,0,0,4,2,0,,,,,,,56.63985300064087,False,True,,False,True,
3044a4f271,Abhishek,4,Inconsistent checks for the CAN-FD mode across different parts of the driver.,0,4,4,0,0,0,,,,,,,17.075546741485596,False,True,,False,True,
8512559741,Abhishek,4,Updates the tcp_v4_rcv() function within the network subsystem.,0,4,4,3,0,0,,,,,,,24.112571001052856,False,True,,False,True,
727e60604f,Abhishek,4,Minor cleanup within the Btrfs file system code in the Linux kernel.,0,0,4,0,0,0,,,,,,,18.903828144073486,False,True,,False,True,
79dcd4e840,Abhishek,4,Introduces a new feature by adding the capability to specify multiple pin configurations within a single pinctrl group.,0,0,0,4,4,0,,,0.0,0.0,0.0,,9.99718713760376,False,True,,False,True,
4d2a3c169b,Abhishek,4,Commit fixes a typo error.,0,0,4,0,0,0,,,0.0,0.0,0.0,,187.31994009017944,False,True,,False,False,True
18451db82e,Abhishek,4,This commit modifies the RDMA core to change how the UDP source port is calculated.,0,4,0,3,4,0,,,0.0,0.0,0.0,,38.729341983795166,False,True,,False,True,True
aecf89f2f8,Abhishek,4,This commit adds support for the LEDs and buttons on the Asus RTN-10U router.,0,0,4,4,4,0,,,0.0,0.0,0.0,,202.14089679718015,False,True,,False,True,True
3b9cb4ba4b,Abhishek,4,"Refactors the rcutorture module in the Linux kernel to use the kthread_run_on_cpu() helper function instead of the combination of kthread_create_on_node(), kthread_bind(), and wake_up_process(). ",0,4,4,0,0,0,,,0.0,0.0,0.0,,18.43644690513611,False,True,,False,True,
f2fed022aa,Abhishek,4,Refines the code  for swapping values with the standard swap() macro from include/linux/minmax.h. ,0,3,4,0,0,0,,,0.0,0.0,0.0,,8.614819049835205,False,True,,False,True,
9a10064f56,Abhishek,4,"Introduce new feature to the Linux kernel, specifically for managing private anonymous VMAs.",0,4,0,4,4,0,,,0.0,0.0,0.0,,15.826563119888306,False,True,,False,False,
1eba86c096,Abhishek,4,This commit directly addresses issues related to memory corruption and refcount problems.,4,0,0,0,4,0,4.0,4.0,0.0,4.0,0.0,"This commit directly deals with memory management issues, particularly related to how memory pages are handled in the kernel.",22.53296899795532,False,True,,False,False,
f4c6d22c6c,Abhishek,4,This commit removes a comment that was mistakenly added during a patch series reordering.,0,0,4,0,0,0,,,0.0,0.0,0.0,,229.07412028312683,False,True,,False,True,True
016017a195,Abhishek,4,This commit is a technical adjustment to accommodate architectural differences and ensure broader compatibility of the TTM module.,4,0,0,0,0,0,4.0,0.0,,,,,29.684245109558105,False,True,,False,False,
11c2bf4a20,Abhishek,4,This commit fixes an issue where invalid read sizes were not properly handled,4,0,0,0,0,0,4.0,0.0,,,,,147.7440378665924,False,True,,False,False,False
72de208f2b,Abhishek,4,"The commit improves the code by eliminating unnecessary casting, which enhances readability and maintainability.",0,0,4,0,0,0,,,,,,,232.946918964386,False,True,,False,True,True
0519f73adb,Abhishek,4,This commit renames  a function..,0,0,4,0,0,0,,,,,,,18.895899772644043,False,True,,False,True,True
088c840599,Abhishek,4,This commit addresses a type-casting issue.,4,0,0,0,0,0,4.0,4.0,0.0,4.0,0.0,"The issue relates to memory address space conversions, which directly pertains to how memory is accessed and managed.",166.3911168575287,False,True,,False,True,True
f346f32701,Abhishek,4,This commit adds Helge Deller as a new maintainer for the framebuffer device.,0,4,0,0,0,0,,,,,,,186.078439950943,False,True,,False,False,True
3ac5f2f257,Abhishek,4,This commit updates the kernel documentation for the function smb311_update_preauth_hash().,0,0,4,0,0,0,,,,,,,44.14911794662475,False,True,,False,True,True
e1553351d7,Abhishek,4,This commit removes redundant VPRINTK() calls and the function ata_scsi_dump_cdb() from the libata subsystem.,0,0,4,0,0,0,,,,,,,11.141359806060793,False,True,,False,False,
340a02535e,Abhishek,4,This commit involves reorganizing the Linux kernel build scripts by moving the extract-cert script from the scripts/ directory to the certs/ directory. ,0,0,4,0,0,0,,,,,,,84.14929413795471,False,True,,False,True,True
2fadc6ea4a,Abhishek,4,This commit  sorts the CONFIG_SURFACE_PLATFORMS configuration entry in the same order.,0,0,4,0,0,0,,,0.0,0.0,0.0,,179.05873203277588,False,True,,False,True,True
9a9acdccdf,Abhishek,4,"This commit addresses a specific resource leak during the probe process, which is a bug in the error handling code.",4,0,0,0,0,0,4.0,0.0,,,,,174.80018281936646,False,True,,False,False,False
3364c6ce23,Abhishek,4,This commit addresses a compiler warning related to array bounds in the ARM64 architecture code involving atomic operations.,4,0,0,0,0,0,4.0,4.0,0.0,4.0,0.0,Misaligned type sizes and incorrect type casting in atomic operations can lead to improper memory accesses.,163.70529007911682,False,True,,False,True,True
805a3ebed5,Abhishek,4,This commit refines the usage of #ifdef CONFIG_XIP_KERNEL in the RISC-V architecture's memory management initialization code.,0,4,4,0,0,0,,,,,,,120.72992014884947,False,True,,False,True,True
e973746882,Abhishek,4,Fixes a misreporting issue in virtualized CPU features.,4,0,0,0,0,0,4.0,0.0,,,,,7.64706015586853,False,True,,False,False,
9b51d9d866,Abhishek,4,Optimizes the use of CPU mask operations in the kernel by replacing instances of cpumask_next_* functions with cpumask_first_* where appropriate.,0,4,4,4,0,0,,,,,,,13.699172973632812,False,True,,False,True,
1ac7fd8159,Abhishek,4,This commit fixes the issue where important performance information might be lost due to the lack of support for the new LBR format V7.,4,4,4,4,4,0,4.0,0.0,,,,,384.86328315734863,False,True,,False,True,True
a8db854be2,Abhishek,4,This commit addresses a bug where error information was not being passed correctly from the AF through the PF to the VF.,4,0,0,0,0,0,4.0,4.0,0.0,0.0,4.0,This commit directly involves the exchange of error information between system components .,314.99642515182495,False,True,,False,True,True
84d46e1fc3,Abhishek,4,Improves the code quality by removing unused parts.,0,0,3,0,0,0,,,,,,,10.115931034088137,False,True,,False,False,
dd4516aee3,Abhishek,4,Improves the structure and clarity of the testing code.,0,0,4,0,0,0,,,,,,,23.99665093421936,False,True,,False,True,
d11a327ed9,Abhishek,4,"Fixes an over-application of a previous workaround, refining its scope to only include systems.",4,0,0,0,0,0,2.0,0.0,,,,,7.132000923156738,False,True,,False,False,
aa814c51ab,Abhishek,4,Improves the build process by updating the Makefile to support new tooling.,0,4,4,0,0,0,,,,,,,7.995910882949829,False,True,,False,True,
8001fa240f,Abhishek,4,Enhances the maintainability and readability of the code by removing redundant operations and dead code.,0,0,4,0,0,0,,,,,,,7.930840015411377,False,True,,False,False,
d1ad2721b1,Abhishek,4,Improves the integrity and relevance of the build system's header file checks by ensuring that only appropriate headers are include.,0,4,4,0,0,0,,,,,,,23.120598077774048,False,True,,False,True,
