hash,annotator,understand,purpose,bfc,bpc,prc,nfc,specification,asc,obvious,safety,timing,memory,info,safety_exp,time,see_commit_clicked,lore_clicked,lore_founded,is_merge_commit,is_part_patchset,lore_found
a4c82270f0,Michel1,2,"I dont understand well, buy seems like a BPC",0,3,0,0,0,0,,,,,,,280.16366147994995,True,True,,False,True,
5f8981d699,Michel1,4,Fix prints,0,0,4,0,0,0,,,,,,,140.6820728778839,False,True,,False,True,False
9995c1d096,Michel1,3,Improve a solution to allow a more consistent resource managements,0,3,1,0,0,0,,,,,,,245.9171359539032,False,True,,False,True,False
f0b6d3cc29,Michel1,4,Increase timeout ,1,3,1,0,0,0,0,0,,,,,249.7461211681366,False,True,,False,False,False
d6f8168e43,Michel1,4,Add explicit cast to avoid a warning,0,3,0,0,0,0,,,,,,,228.99193954467773,False,False,,False,False,False
1ac7fd8159,Michel1,4,Change is about not losing information from errors,0,0,1,4,0,0,,,,,,,233.63023233413696,False,True,,False,True,False
afb8d5f431,Michel1,4,Make a struct immutable,0,4,0,0,0,0,,,,,,,151.7578341960907,False,True,,False,False,False
e52432e164,Michel1,4,Add a lenght check to avoid compiler warning,0,3,1,0,0,0,,,,,,,197.16332626342773,False,False,,False,False,False
abba345311,Michel1,4,Improve configuration to probably avoid future bugs,0,4,0,0,0,0,,,,,,,166.12577176094055,False,True,,False,False,False
ed482dc8c7,Michel1,4,An include is added implicitly to avoid building problems.,0,4,1,0,0,0,,,,,,,332.21600675582886,False,False,,False,False,False
7cbeeb0553,Michel1,4,Update type of a property to avoid warnings,0,4,0,0,0,0,,,,,,,102.73182320594788,False,False,,False,False,False
11c2bf4a20,Michel1,4,Add a default case in switch-case to return a proper error,0,4,0,0,0,0,,,,,,,147.9662263393402,False,True,,False,True,False
65ea840afd,Michel1,4,Add a check and propery return value,0,4,0,0,0,0,,,,,,,96.57246732711792,False,False,,False,False,False
