hash,reviewer,iunderstd,understd,bfc,bpc,prc,nfc,asc,spec,obc,safety,patchset,comment
5b2c5540b8,jesus,4,True,4,0,3,0,0,3,0,,,"INFO. This would be a bug fixing commit if we consider that errors returned by BPF are the same to be returned by the ""real"" stack (such as TCP). Of course, we could also consider this is also a matter of opinion, and this is just a perfective commit, trying to take BPF closer to the communication stack (in this case, at the level or error reporting). This is an interesting case of ""being a BFC or not would depend on whether what is considered to be the specification"". If the specification were ""errors should be like those of the TCP/IP stack"", this would be a bug. I'm considering that's the case. But if there is no specification as such, this would be just a perfective commit, making things more ""reasonable"", and more like they were in the past (it seems that was the situation previous to some commit). And could signal a change in specifications (or more likely, an extension of the specifications to address this case). This is also part of a patchset, but it seems it is independent from other patches in it."
9a10064f56,jesus,4,False,0,0,0,4,0,4,0,0.0,,"INFO. This seems to me clearly as a new feature. It ""adds a field to /proc/pid/maps and /proc/pid/smaps to show a userspace-provided name for anonymous vmas"". I think two of the reviewers didn't understood the commit, and that's why they said it is close to a BFC. This is a good example of a new feature, which is extending specifications (vmas should have a field for a userspace-provided name), which is introduced at the same time the patch is committed."
016017a195,jesus,4,True,4,2,0,1,0,0,4,0.0,False,"INFO. Interesting case: a ""not real"" configuration case (a non-useful configuration for compiling the kernel) is fixed in this commit. It is even unlikely that the ""fixed"" config is used at all. However, it avoids an error in that case, so this could be a bug fixing commit. So, I label this as a BFC, but it could also be a BPC (if it is considered that this didn't really trigger a bug), or even (maybe) a NFC (if consider that configuration is now considered)."
11c2bf4a20,jesus,4,True,2,4,0,0,0,0,0,0.0,True,"INFO. This is considered as a bug fix by the author (it is part of a patchset which reads ""This patch series contains various fixes for pci-mvebu.c driver. Only bugfixes, no new features."" But it doesn't really refer to a bug. It seems more like preventing future bugs.  There is no evidence the code is being called in a way that ""invalid size"" actually happens. So, I label it as a BPC. However, it could be a BFC if we consider this is fixing a possible bug (or if a bug were reported about this matter).
"
088c840599,jesus,4,True,0,4,0,0,4,0,0,0.0,True,"INFO: This seems to me clearly a BPC, fixing a warning triggered by a checking tool."
3364c6ce23,jesus,4,True,0,4,0,0,4,0,0,0.0,False,"Fixing a warning by the compiled, when -Warray-bounds is used. This is not really fixing a bug, but fixing the warning, which, maybe, could make it more difficult to find a bug if array bounds are not respected. The commit comment itself says the binary output of the compiler is exactly the same, so it is clear this cannot be fixing a bug, but just, maybe, helping to prevent a future one."
e973746882,jesus,4,False,4,0,0,0,0,0,0,0,False,"INFO. The discussion in LORE [1] shows what is actually happening. The fix avoids confusion when calling the kernel API from userspace. Before the patch, information provided by the kernel could be contradictory, now it is isn't. Now, the question is: does this make it a BFC, a BPC, or something else? In addition, this is in the context of commit ""690a757d610e (""kvm: x86: Add CPUID support for Intel AMX"")"" (which is mentioned in the Fixes field). In other words, some new functionality was added, but it could provide contradictory info to userspace, so that is fixed. Apparently, no bug was reported. However, it seems the spec was that the information should not be contradictory, thus this would be fixing a non-reported bug. Labeling as BFC because of that.

[1] https://lore.kernel.org/all/20220117074531.76925-1-likexu@tencent.com/"
1ac7fd8159,jesus,4,False,4,0,0,0,0,0,0,0,True,"INFO. Interesting case of a commit that could be considered a BFC, or a NFC. Apparently, some families of Intel processors use a new format for some CPU registers (LBR). LBR stands for ""last branch records"", and apparently is a hw mechanism provided by some Intel CPUs to collect information about the call graph, which can be used by performance profilers [1] [2]. It seems that in some of the latest Intel families, some information about missprediction could be lost. The commit fixes this. I'm considering it as a bug fixing commit, because it seems those Intel families are within specs at the moment the commit is written, and providing the right info is also within specs. But it is important to notice that likely those families were not within specs when the fixed code was written, so this could also be considered just as a NFC, adding the feature of supporting these Intel families with respect to performance statistics.

In this case, some of the annotators labeled the commit as PRC, likely because performance was mentioned (but this is, afaik, about performance stats, not performance itself).

[1] https://stackoverflow.com/a/57432063/2075265
[2] https://stackoverflow.com/questions/12160449/call-stack-in-the-perf-profiler"
a8db854be2,jesus,3,True,4,0,0,0,0,0,0,0,True,"INFO. This is a patch sent to a stable branch (note the ""Upstream commit"" field [1], seen in [2]). It is a part of a patchset for a stable release (see [3]: ""This is the start of the stable review cycle for the 5.16.5 release. There are 200 patches in this series""). It seems that in certain cases, a component is not getting the right error information. The commit fixes it. So, it seems to be a BFC (if we consider that passing the right error info is part of the specs). If passing the right error information is not considered a part of the specs, this could be a PRC (which is what two of the annotators did). I'm not sure about implications for safety: labeling as 0 since I don't see any, anyway.


[1] https://www.kernel.org/doc/html/v4.10/process/stable-kernel-rules.html
[2] https://lore.kernel.org/all/20220131105238.574507596@linuxfoundation.org/
[3] https://lore.kernel.org/all/20220131105233.561926043@linuxfoundation.org/"
edb854a368,jesus,4,True,0,0,4,0,0,0,0,0,False,"INFO. This seems to be a perfective commit to me. It helps memory to be used more efficiently in some cases. Doesn't seem to have an effect in behavior, so not really a bug fix. Labelling it as a PRC. Annotators seem to understand the commit as I do, but they seem to consider the waste in memory as a bug (which I think is not the case, since it doesn't cause a malfunction)."
